grp	site_specific	Ref	relative_abu
95	Pt11 Post-Tx-offIS-24M	Hp	Malassezia_restricta	100
96	Pt11 Post-Tx-offIS-24M	Ic	Malassezia_globosa	97.2251672517395
97	Pt11 Post-Tx-offIS-24M	Ic	Malassezia_restricta	2.77483274826051
98	Pt11 Post-Tx-offIS-24M	Mb	Malassezia_globosa	5.86074167374943
99	Pt11 Post-Tx-offIS-24M	Mb	Malassezia_restricta	1.65697502545764
100	Pt11 Post-Tx-offIS-24M	Mb	Malassezia_sympodialis	92.4822833007929
101	Pt11 Post-Tx-offIS-24M	Pc	Malassezia_globosa	53.0066988265945
102	Pt11 Post-Tx-offIS-24M	Pc	Malassezia_restricta	46.9933011734056
103	Pt11 Post-Tx-offIS-24M	Ra	Malassezia_globosa	72.2860537065376
104	Pt11 Post-Tx-offIS-24M	Ra	Malassezia_restricta	27.7139462934624
105	Pt11 Post-Tx-offIS-24M	Vf	Malassezia_globosa	32.9176126684809
106	Pt11 Post-Tx-offIS-24M	Vf	Malassezia_restricta	67.0823873315191
107	Pt02 Post-Tx-offIS-24M	Ac	Malassezia_globosa	100
108	Pt02 Post-Tx-offIS-24M	Hp	Malassezia_globosa	58.3931724090527
109	Pt02 Post-Tx-offIS-24M	Hp	Malassezia_restricta	41.6068275909473
110	Pt02 Post-Tx-offIS-24M	Mb	Malassezia_globosa	100
111	Pt09 Post-Tx-offIS-24M	Ac	Malassezia_globosa	26.6014626205126
112	Pt09 Post-Tx-offIS-24M	Ac	Malassezia_restricta	73.3985373794874
113	Pt09 Post-Tx-offIS-24M	Hp	Malassezia_restricta	100
114	Pt09 Post-Tx-offIS-24M	Mb	Malassezia_globosa	59.0277652549507
115	Pt09 Post-Tx-offIS-24M	Mb	Malassezia_restricta	40.9722347450493
116	Pt09 Post-Tx-offIS-24M	Ra	Malassezia_globosa	92.8704174516853
117	Pt09 Post-Tx-offIS-24M	Ra	Malassezia_restricta	7.12958254831467
118	Pt09 Post-Tx-offIS-24M	Vf	Malassezia_globosa	26.8789985844035
119	Pt09 Post-Tx-offIS-24M	Vf	Malassezia_restricta	73.1210014155965
120	Pt05 Post-Tx-offIS-12M	Ac	Malassezia_globosa	44.8593887386362
121	Pt05 Post-Tx-offIS-12M	Ac	Malassezia_restricta	55.1406112613638
122	Pt05 Post-Tx-offIS-12M	Hp	Malassezia_globosa	23.6783425495556
123	Pt05 Post-Tx-offIS-12M	Hp	Malassezia_restricta	76.3216574504444
124	Pt05 Post-Tx-offIS-12M	Ic	Malassezia_globosa	100
125	Pt05 Post-Tx-offIS-12M	Mb	Malassezia_globosa	56.6768568196552
126	Pt05 Post-Tx-offIS-12M	Mb	Malassezia_restricta	43.3231431803448
127	Pt05 Post-Tx-offIS-12M	Vf	Malassezia_globosa	36.698220915624
128	Pt05 Post-Tx-offIS-12M	Vf	Malassezia_restricta	63.301779084376
129	Pt05 Post-Tx-offIS-24M	Ac	Malassezia_globosa	10.910154456984
130	Pt05 Post-Tx-offIS-24M	Ac	Malassezia_restricta	89.089845543016
131	Pt05 Post-Tx-offIS-24M	Hp	Malassezia_globosa	4.23542866604559
132	Pt05 Post-Tx-offIS-24M	Hp	Malassezia_restricta	95.7645713339544
133	Pt05 Post-Tx-offIS-24M	Ic	Malassezia_globosa	100
134	Pt05 Post-Tx-offIS-24M	Mb	Malassezia_globosa	26.9682371505423
135	Pt05 Post-Tx-offIS-24M	Mb	Malassezia_restricta	73.0317628494577
136	Pt05 Post-Tx-offIS-24M	Pc	Malassezia_globosa	56.6972893384335
137	Pt05 Post-Tx-offIS-24M	Pc	Malassezia_restricta	43.3027106615665
138	Pt05 Post-Tx-offIS-24M	Ra	Malassezia_globosa	2.01617720618172
139	Pt05 Post-Tx-offIS-24M	Ra	Malassezia_restricta	97.9838227938183
140	Pt05 Post-Tx-offIS-24M	Vf	Malassezia_globosa	9.14116647675691
141	Pt05 Post-Tx-offIS-24M	Vf	Malassezia_palmae	1.89218114395743
142	Pt05 Post-Tx-offIS-24M	Vf	Malassezia_restricta	88.9666523792857
143	Pt03 Post-Tx-offIS-24M	Ac	Malassezia_globosa	35.7963233833742
144	Pt03 Post-Tx-offIS-24M	Ac	Malassezia_palmae	33.865089849379
145	Pt03 Post-Tx-offIS-24M	Ac	Malassezia_restricta	30.3385867672468
146	Pt03 Post-Tx-offIS-24M	Hp	Malassezia_globosa	22.9934420981803
147	Pt03 Post-Tx-offIS-24M	Hp	Malassezia_palmae	39.2509433583749
148	Pt03 Post-Tx-offIS-24M	Hp	Malassezia_restricta	37.7556145434448
149	Pt03 Post-Tx-offIS-24M	Mb	Malassezia_globosa	49.2532049909814
150	Pt03 Post-Tx-offIS-24M	Mb	Malassezia_palmae	25.3068586152006
151	Pt03 Post-Tx-offIS-24M	Mb	Malassezia_restricta	25.4399363938181
152	Pt03 Post-Tx-offIS-24M	Pc	Malassezia_globosa	41.4465257865026
153	Pt03 Post-Tx-offIS-24M	Pc	Malassezia_palmae	37.9392430801248
154	Pt03 Post-Tx-offIS-24M	Pc	Malassezia_restricta	20.6142311333726
155	Pt03 Post-Tx-offIS-24M	Ph	Malassezia_globosa	32.7631893680145
156	Pt03 Post-Tx-offIS-24M	Ph	Malassezia_palmae	34.3365294008126
157	Pt03 Post-Tx-offIS-24M	Ph	Malassezia_restricta	32.900281231173
158	Pt03 Post-Tx-offIS-24M	Ra	Malassezia_globosa	12.4729491484038
