Sample	Standard+DOCK8+	Standard+DOCK8	Standard+SMGC	Standard	site_specific	Group
MET8241	12.99	12.99	13.54	22.1	Ra	Post-Tx-onIS≤3M
MET8242	15	15.01	20	48.16	Vf	Post-Tx-onIS≤3M
MET8244	15.76	15.83	42.77	75.62	Ac	Post-Tx-onIS-6M
MET8246	24.42	24.42	30.62	31.43	Hp	Post-Tx-onIS-6M
MET8247	51.73	51.96	51.99	84.05	Ic	Post-Tx-onIS-6M
MET8248	27.9	28.11	32.75	69.85	Mb	Post-Tx-onIS-6M
MET8249	59.88	59.89	59.97	61.37	Ph	Post-Tx-onIS-6M
MET8250	38.29	38.38	68.24	80.28	Pc	Post-Tx-onIS-6M
MET8251	50.96	51.02	73.94	80.74	Ra	Post-Tx-onIS-6M
MET8252	51.81	51.84	57.38	64.96	Vf	Post-Tx-onIS-6M
MET8254	66.44	66.45	68.26	71	Ac	Post-Tx-offIS-12M
MET8255	60.06	60.07	61.49	62.77	Hp	Post-Tx-offIS-12M
MET8256	81.82	81.82	81.52	82.8	Ic	Post-Tx-offIS-12M
MET8257	56.11	56.12	57.71	59.14	Mb	Post-Tx-offIS-12M
MET8258	59.45	59.46	59.29	59.97	Ph	Post-Tx-offIS-12M
MET8259	45.88	45.91	88.51	91.65	Pc	Post-Tx-offIS-12M
MET8260	50.14	50.16	58.52	59.84	Ra	Post-Tx-offIS-12M
MET8261	58.33	58.33	60.07	61.69	Vf	Post-Tx-offIS-12M
MET8263	7.49	7.49	19.67	23.79	Ac	Post-Tx-onIS≤3M
MET8264	3.69	3.69	4.2	4.79	Ic	Post-Tx-onIS≤3M
MET8266	7.3	7.31	10.91	13.5	Mb	Post-Tx-onIS≤3M
MET8267	13.3	13.3	19.65	20.15	Pc	Post-Tx-onIS≤3M
MET8268	16.8	16.8	21.08	22.17	Ph	Post-Tx-onIS≤3M
MET8269	16.14	16.16	41.94	69.32	Ra	Post-Tx-onIS≤3M
MET8270	3.3	3.3	5.44	6.57	Vf	Post-Tx-onIS≤3M
MET8272	11.51	11.51	16.22	38.91	Ac	Post-Tx-onIS≤3M
MET8273	23.02	23.02	24.94	26.93	Hp	Post-Tx-onIS≤3M
MET8274	1.36	1.36	86.81	96.87	Ic	Post-Tx-onIS≤3M
MET8275	5.78	5.79	45.09	60.24	Mb	Post-Tx-onIS≤3M
MET8276	6.39	6.4	19.91	26.94	Pc	Post-Tx-onIS≤3M
MET8277	22.49	22.49	23.5	25.94	Ph	Post-Tx-onIS≤3M
MET8278	4.83	4.84	7.09	84.58	Ra	Post-Tx-onIS≤3M
MET8279	19.03	19.04	23.5	34.8	Vf	Post-Tx-onIS≤3M
MET8281	11.16	11.49	17.78	27.34	Ac	Post-Tx-onIS-6M
MET8282	9.73	9.78	16.46	18.55	Hp	Post-Tx-onIS-6M
MET8283	11.16	11.26	13.54	18	Ic	Post-Tx-onIS-6M
MET8284	4.38	7.47	8.6	85.59	Mb	Post-Tx-onIS-6M
MET8286	10.31	10.36	17.44	20.35	Pc	Post-Tx-onIS-6M
MET8287	17.41	17.43	18.71	20.31	Ph	Post-Tx-onIS-6M
MET8288	20.03	21.4	22.4	52.76	Ra	Post-Tx-onIS-6M
MET8289	11.27	11.61	14.51	24.57	Vf	Post-Tx-onIS-6M
MET8291	9.78	11.2	13.57	60.73	Ac	Post-Tx-offIS-12M
MET8292	41.39	41.54	42.94	50.69	Hp	Post-Tx-offIS-12M
MET8293	17.28	17.69	20.69	36.27	Ic	Post-Tx-offIS-12M
MET8294	4.94	7.62	8.67	87.22	Mb	Post-Tx-offIS-12M
MET8295	8.42	10.68	11.35	76.23	Pc	Post-Tx-offIS-12M
MET8296	26.28	26.31	26.71	28.9	Ph	Post-Tx-offIS-12M
MET8297	24.34	26.23	26.65	84.33	Ra	Post-Tx-offIS-12M
MET8298	15.64	16.11	19.32	36.98	Vf	Post-Tx-offIS-12M
MET8300	2.1	2.13	72.54	87.25	Ac	Pre-Tx
MET8301	10.11	10.13	11.88	13.61	Hp	Pre-Tx
MET8302	19.26	19.29	39.55	44.93	Ic	Pre-Tx
MET8303	14.66	14.66	29.41	39.33	Mb	Pre-Tx
MET8304	8.51	8.51	9.99	11.11	Pc	Pre-Tx
MET8306	34.88	34.88	41.87	42.99	Ph	Pre-Tx
MET8307	11.3	11.3	12.26	28.96	Ra	Pre-Tx
MET8308	19.65	19.68	21.71	29.09	Vf	Pre-Tx
MET8310	2.7	2.72	70.48	82.31	Ac	Post-Tx-onIS≤3M
MET8311	16.15	16.16	17.38	20.09	Hp	Post-Tx-onIS≤3M
MET8312	18.46	18.46	21.45	24.67	Ic	Post-Tx-onIS≤3M
MET8313	46.52	46.53	46.69	49.28	Mb	Post-Tx-onIS≤3M
MET8314	8.31	8.32	14.09	30.08	Pc	Post-Tx-onIS≤3M
MET8315	27.52	27.54	27.76	30.25	Ph	Post-Tx-onIS≤3M
MET8316	8.21	8.21	8.24	9.7	Ra	Post-Tx-onIS≤3M
MET8317	3.22	3.23	3.6	5.58	Vf	Post-Tx-onIS≤3M
MET8319	11.91	11.94	13.35	15.39	Ac	Post-Tx-offIS-24M
MET8320	17.21	17.24	30.78	33.42	Hp	Post-Tx-offIS-24M
MET8322	15.15	15.16	27.21	29.31	Ic	Post-Tx-offIS-24M
MET8323	14.78	15.9	21.61	45.71	Mb	Post-Tx-offIS-24M
MET8324	17.74	17.77	25.51	34.69	Pc	Post-Tx-offIS-24M
MET8325	34.23	34.24	44.1	46.45	Ph	Post-Tx-offIS-24M
MET8327	5.29	6.87	9.75	46.93	Ra	Post-Tx-offIS-24M
MET8328	55.71	55.71	55.75	56.01	Vf	Post-Tx-offIS-24M
MET8330	0.81	0.89	13.94	86.35	Ac	Pre-Tx
MET8331	15.52	15.55	19.95	37.95	Hp	Pre-Tx
MET8332	13.25	13.26	14.56	17.67	Ic	Pre-Tx
MET8333	16.55	16.57	19.43	26.62	Mb	Pre-Tx
MET8334	5.98	6	9.47	70.64	Pc	Pre-Tx
MET8335	37.17	37.17	37.37	41.18	Ph	Pre-Tx
MET8336	11.79	12.16	13.98	62.77	Ra	Pre-Tx
MET8337	1.96	1.98	18.89	92.45	Vf	Pre-Tx
MET8339	1.18	1.24	4.76	97.5	Ac	Post-Tx-onIS≤3M
MET8340	33.21	33.23	36.23	42.09	Hp	Post-Tx-onIS≤3M
MET8341	73.56	73.57	76.39	83.81	Ic	Post-Tx-onIS≤3M
MET8342	24.38	24.38	31.17	34.29	Mb	Post-Tx-onIS≤3M
MET8343	10.25	10.44	37.25	88.81	Pc	Post-Tx-onIS≤3M
MET8344	36.91	36.94	42.37	47.45	Ph	Post-Tx-onIS≤3M
MET8345	28.19	28.21	32.08	38.73	Ra	Post-Tx-onIS≤3M
MET8347	20.57	20.59	34.33	51.24	Vf	Post-Tx-onIS≤3M
MET8349	0.97	0.98	3.13	95.93	Ac	Post-Tx-onIS≤3M
MET8350	10.19	10.21	13.81	20.18	Hp	Post-Tx-onIS≤3M
MET8351	7.73	7.8	12.19	47.25	Ic	Post-Tx-onIS≤3M
MET8352	14.25	14.26	17.96	26.7	Mb	Post-Tx-onIS≤3M
MET8353	3.89	3.89	35.53	85.94	Pc	Post-Tx-onIS≤3M
MET8354	57.98	57.99	59.64	65.75	Ph	Post-Tx-onIS≤3M
MET8355	3.72	3.86	16.14	80.45	Ra	Post-Tx-onIS≤3M
MET8356	4.54	4.59	12.62	87.59	Vf	Post-Tx-onIS≤3M
MET8358	1.04	1.05	13.98	97.34	Ac	Post-Tx-onIS≤3M
MET8359	16.47	16.49	22.07	25.76	Hp	Post-Tx-onIS≤3M
MET8360	11.65	11.75	22.82	45.36	Ic	Post-Tx-onIS≤3M
MET8361	29.82	29.87	37.24	44.33	Mb	Post-Tx-onIS≤3M
MET8362	2.48	2.5	31.3	92.88	Pc	Post-Tx-onIS≤3M
MET8363	53.19	53.21	55.56	60.68	Ph	Post-Tx-onIS≤3M
MET8364	8.88	9.31	13.56	82.2	Ra	Post-Tx-onIS≤3M
MET8365	10.78	10.84	20.38	66.79	Vf	Post-Tx-onIS≤3M
MET8368	1.92	1.94	74.89	94.26	Ac	Post-Tx-onIS≤3M
MET8369	2.54	2.62	18.02	42.16	Ic	Post-Tx-onIS≤3M
MET8370	24.75	24.87	27.99	98.35	Mb	Post-Tx-onIS≤3M
MET8371	2.12	2.34	49.68	80.34	Pc	Post-Tx-onIS≤3M
MET8372	23.87	23.89	32.59	35.31	Ph	Post-Tx-onIS≤3M
MET8373	0.9	0.97	18.87	58.49	Ra	Post-Tx-onIS≤3M
MET8374	9.27	9.33	16.13	51.06	Vf	Post-Tx-onIS≤3M
MET8376	0.35	0.47	20.74	94.61	Ac	Post-Tx-onIS≤3M
MET8377	21.25	21.31	38.54	61.16	Hp	Post-Tx-onIS≤3M
MET8378	0.47	0.54	29.83	75	Ic	Post-Tx-onIS≤3M
MET8379	10.48	10.59	15.52	99.43	Mb	Post-Tx-onIS≤3M
MET8380	0.32	0.42	24.9	88.99	Pc	Post-Tx-onIS≤3M
MET8381	42.69	42.72	51.19	65.19	Ph	Post-Tx-onIS≤3M
MET8382	1.2	1.31	25.5	78.12	Ra	Post-Tx-onIS≤3M
MET8383	11.99	12.06	40.64	73.32	Vf	Post-Tx-onIS≤3M
