subject_id	Classification	Group	mean_abu_nor
Pt01	Alphapolyomavirus	Pre-Tx	1.195499e-06
Pt01	Alphapolyomavirus	Post-Tx-offIS-24M	0.02545049
Pt01	Anelloviridae	Pre-Tx	0
Pt01	Anelloviridae	Post-Tx-offIS-24M	0
Pt01	Betapapillomavirus	Pre-Tx	0.454742205098
Pt01	Betapapillomavirus	Post-Tx-offIS-24M	0.2814975984
Pt01	Deltapolyomavirus	Pre-Tx	0
Pt01	Deltapolyomavirus	Post-Tx-offIS-24M	0
Pt01	Gammapapillomavirus	Pre-Tx	3.5092355333896
Pt01	Gammapapillomavirus	Post-Tx-offIS-24M	1.2744293155
Pt01	Herpesviridae	Pre-Tx	5.06029e-07
Pt01	Herpesviridae	Post-Tx-offIS-24M	0
Pt01	Molluscipoxvirus	Pre-Tx	1.11733524e-06
Pt01	Molluscipoxvirus	Post-Tx-offIS-24M	0.5094617038
Pt01	Non-viruses	Pre-Tx	0.000290230154859961
Pt01	Non-viruses	Post-Tx-offIS-24M	4.5921944913
Pt01	Papillomaviridae	Pre-Tx	0.0357292124943
Pt01	Papillomaviridae	Post-Tx-offIS-24M	1.316966401
Pt01	Polyomaviridae	Pre-Tx	0
Pt01	Polyomaviridae	Post-Tx-offIS-24M	0
Pt01	Poxviridae	Pre-Tx	0
Pt01	Poxviridae	Post-Tx-offIS-24M	0
Pt11	Alphapolyomavirus	Pre-Tx	0
Pt11	Alphapolyomavirus	Post-Tx-offIS-12M	0.0011253101
Pt11	Alphapolyomavirus	Post-Tx-offIS-24M	0.0030403635
Pt11	Anelloviridae	Pre-Tx	0
Pt11	Anelloviridae	Post-Tx-offIS-12M	0
Pt11	Anelloviridae	Post-Tx-offIS-24M	0
Pt11	Betapapillomavirus	Pre-Tx	1.671066594451
Pt11	Betapapillomavirus	Post-Tx-offIS-12M	0.5337973236
Pt11	Betapapillomavirus	Post-Tx-offIS-24M	1.0029021771
Pt11	Deltapolyomavirus	Pre-Tx	0.0037579944864
Pt11	Deltapolyomavirus	Post-Tx-offIS-12M	0.00852685868
Pt11	Deltapolyomavirus	Post-Tx-offIS-24M	0.0033845726
Pt11	Gammapapillomavirus	Pre-Tx	6.1925761626209
Pt11	Gammapapillomavirus	Post-Tx-offIS-12M	2.16579804448
Pt11	Gammapapillomavirus	Post-Tx-offIS-24M	0.6417758002
Pt11	Herpesviridae	Pre-Tx	8.302544476e-05
Pt11	Herpesviridae	Post-Tx-offIS-12M	0.022492961402
Pt11	Herpesviridae	Post-Tx-offIS-24M	0.02756126639
Pt11	Molluscipoxvirus	Pre-Tx	0.001713277782
Pt11	Molluscipoxvirus	Post-Tx-offIS-12M	0.0022112128
Pt11	Molluscipoxvirus	Post-Tx-offIS-24M	0.001754048407
Pt11	Non-viruses	Pre-Tx	0.0278864035786401
Pt11	Non-viruses	Post-Tx-offIS-12M	2.059677705568
Pt11	Non-viruses	Post-Tx-offIS-24M	6.138818676903
Pt11	Papillomaviridae	Pre-Tx	0.1029165416363
Pt11	Papillomaviridae	Post-Tx-offIS-12M	3.20637058337
Pt11	Papillomaviridae	Post-Tx-offIS-24M	0.1807630949
Pt11	Polyomaviridae	Pre-Tx	0
Pt11	Polyomaviridae	Post-Tx-offIS-12M	0
Pt11	Polyomaviridae	Post-Tx-offIS-24M	0
Pt11	Poxviridae	Pre-Tx	0
Pt11	Poxviridae	Post-Tx-offIS-12M	0
Pt11	Poxviridae	Post-Tx-offIS-24M	0
Pt02	Alphapolyomavirus	Pre-Tx	0
Pt02	Alphapolyomavirus	Post-Tx-offIS-24M	0
Pt02	Anelloviridae	Pre-Tx	0
Pt02	Anelloviridae	Post-Tx-offIS-24M	0
Pt02	Betapapillomavirus	Pre-Tx	0.419501887198
Pt02	Betapapillomavirus	Post-Tx-offIS-24M	0.3524801272
Pt02	Deltapolyomavirus	Pre-Tx	0.000154065518
Pt02	Deltapolyomavirus	Post-Tx-offIS-24M	0
Pt02	Gammapapillomavirus	Pre-Tx	3.5787322101176
Pt02	Gammapapillomavirus	Post-Tx-offIS-24M	0.2242230992
Pt02	Herpesviridae	Pre-Tx	0
Pt02	Herpesviridae	Post-Tx-offIS-24M	0.00863180167
Pt02	Molluscipoxvirus	Pre-Tx	0.001164600269
Pt02	Molluscipoxvirus	Post-Tx-offIS-24M	0.02923291827
Pt02	Non-viruses	Pre-Tx	0.000396410428399885
Pt02	Non-viruses	Post-Tx-offIS-24M	7.33684602066
Pt02	Papillomaviridae	Pre-Tx	5.0826469e-05
Pt02	Papillomaviridae	Post-Tx-offIS-24M	0.048586033
Pt02	Polyomaviridae	Pre-Tx	0
Pt02	Polyomaviridae	Post-Tx-offIS-24M	0
Pt02	Poxviridae	Pre-Tx	0
Pt02	Poxviridae	Post-Tx-offIS-24M	0
Pt09	Alphapolyomavirus	Pre-Tx	0
Pt09	Alphapolyomavirus	Post-Tx-onIS>12M	0.00065805553
Pt09	Alphapolyomavirus	Post-Tx-offIS-24M	0.0034452117
Pt09	Anelloviridae	Pre-Tx	0
Pt09	Anelloviridae	Post-Tx-onIS>12M	0
Pt09	Anelloviridae	Post-Tx-offIS-24M	0
Pt09	Betapapillomavirus	Pre-Tx	1.7122945983884
Pt09	Betapapillomavirus	Post-Tx-onIS>12M	2.48723893396
Pt09	Betapapillomavirus	Post-Tx-offIS-24M	0.6466305202
Pt09	Deltapolyomavirus	Pre-Tx	0.961518282987219
Pt09	Deltapolyomavirus	Post-Tx-onIS>12M	0.0103366645
Pt09	Deltapolyomavirus	Post-Tx-offIS-24M	0.002724512
Pt09	Gammapapillomavirus	Pre-Tx	4.51684660508005
Pt09	Gammapapillomavirus	Post-Tx-onIS>12M	1.04499607002
Pt09	Gammapapillomavirus	Post-Tx-offIS-24M	1.0370071263
Pt09	Herpesviridae	Pre-Tx	0
Pt09	Herpesviridae	Post-Tx-onIS>12M	0
Pt09	Herpesviridae	Post-Tx-offIS-24M	0
Pt09	Molluscipoxvirus	Pre-Tx	0.751064332437551
Pt09	Molluscipoxvirus	Post-Tx-onIS>12M	0.0351095419
Pt09	Molluscipoxvirus	Post-Tx-offIS-24M	0.03850140258
Pt09	Non-viruses	Pre-Tx	0.044640035478596
Pt09	Non-viruses	Post-Tx-onIS>12M	4.39840903673
Pt09	Non-viruses	Post-Tx-offIS-24M	6.26295498952
Pt09	Papillomaviridae	Pre-Tx	0.0128895890506236
Pt09	Papillomaviridae	Post-Tx-onIS>12M	0.02325169736
Pt09	Papillomaviridae	Post-Tx-offIS-24M	0.0087362377
Pt09	Polyomaviridae	Pre-Tx	0.000723890827610575
Pt09	Polyomaviridae	Post-Tx-onIS>12M	0
Pt09	Polyomaviridae	Post-Tx-offIS-24M	0
Pt09	Poxviridae	Pre-Tx	2.26657499447203e-05
Pt09	Poxviridae	Post-Tx-onIS>12M	0
Pt09	Poxviridae	Post-Tx-offIS-24M	0
Pt05	Alphapolyomavirus	Pre-Tx	0.000654989713672585
Pt05	Alphapolyomavirus	Post-Tx-offIS-12M	0.004214128
Pt05	Alphapolyomavirus	Post-Tx-offIS-24M	0
Pt05	Anelloviridae	Pre-Tx	0
Pt05	Anelloviridae	Post-Tx-offIS-12M	0
Pt05	Anelloviridae	Post-Tx-offIS-24M	0
Pt05	Betapapillomavirus	Pre-Tx	5.04463574197558
Pt05	Betapapillomavirus	Post-Tx-offIS-12M	0.4762800708
Pt05	Betapapillomavirus	Post-Tx-offIS-24M	0.5604107902
Pt05	Deltapolyomavirus	Pre-Tx	0.00369345871806694
Pt05	Deltapolyomavirus	Post-Tx-offIS-12M	0.0004845463
Pt05	Deltapolyomavirus	Post-Tx-offIS-24M	0
Pt05	Gammapapillomavirus	Pre-Tx	1.62645653435407
Pt05	Gammapapillomavirus	Post-Tx-offIS-12M	1.0209913674
Pt05	Gammapapillomavirus	Post-Tx-offIS-24M	0.3994872329
Pt05	Herpesviridae	Pre-Tx	3.50452801480233e-06
Pt05	Herpesviridae	Post-Tx-offIS-12M	2.869904e-05
Pt05	Herpesviridae	Post-Tx-offIS-24M	2.691616e-05
Pt05	Molluscipoxvirus	Pre-Tx	0.125974680896161
Pt05	Molluscipoxvirus	Post-Tx-offIS-12M	1.298188873
Pt05	Molluscipoxvirus	Post-Tx-offIS-24M	0.00734525517
Pt05	Non-viruses	Pre-Tx	0.709615376456174
Pt05	Non-viruses	Post-Tx-offIS-12M	4.97477076075
Pt05	Non-viruses	Post-Tx-offIS-24M	7.02364395877
Pt05	Papillomaviridae	Pre-Tx	0.488962675849452
Pt05	Papillomaviridae	Post-Tx-offIS-12M	0.2223647288
Pt05	Papillomaviridae	Post-Tx-offIS-24M	0.0090858468
Pt05	Polyomaviridae	Pre-Tx	0
Pt05	Polyomaviridae	Post-Tx-offIS-12M	0.002663406
Pt05	Polyomaviridae	Post-Tx-offIS-24M	0
Pt05	Poxviridae	Pre-Tx	3.03750880436289e-06
Pt05	Poxviridae	Post-Tx-offIS-12M	1.341991e-05
Pt05	Poxviridae	Post-Tx-offIS-24M	0
Pt03	Alphapolyomavirus	Pre-Tx	0.077316979433
Pt03	Alphapolyomavirus	Post-Tx-offIS-24M	0.2111274423
Pt03	Anelloviridae	Pre-Tx	0.0001223113
Pt03	Anelloviridae	Post-Tx-offIS-24M	0
Pt03	Betapapillomavirus	Pre-Tx	0.729353832126
Pt03	Betapapillomavirus	Post-Tx-offIS-24M	0.505350446
Pt03	Deltapolyomavirus	Pre-Tx	0.039158171997
Pt03	Deltapolyomavirus	Post-Tx-offIS-24M	0
Pt03	Gammapapillomavirus	Pre-Tx	6.8482295313427
Pt03	Gammapapillomavirus	Post-Tx-offIS-24M	0.0538260857
Pt03	Herpesviridae	Pre-Tx	0.00081770487316
Pt03	Herpesviridae	Post-Tx-offIS-24M	0.00066141935
Pt03	Molluscipoxvirus	Pre-Tx	1.821945e-05
Pt03	Molluscipoxvirus	Post-Tx-offIS-24M	0.00042374649
Pt03	Non-viruses	Pre-Tx	0.00867523849314
Pt03	Non-viruses	Post-Tx-offIS-24M	7.19940262096
