site_specific	kingdom	Group	site_mean
Vf	Eukaryotic virus	Post-Tx-onIS-2M	0.640381877972667
Vf	Eukaryotic virus	Post-Tx-onIS-3M	0.5293152675518
Vf	Eukaryotic virus	Post-Tx-onIS-6M	0.156128373219
Vf	Eukaryotic virus	Post-Tx-onIS>12M	0.0021356605011
Vf	Eukaryotic virus	Post-Tx-offIS-12M	0.0169547092495385
Vf	Eukaryotic virus	Post-Tx-offIS-24M	0.000894312600136364
Vf	Eukaryotic virus	HVs	0.00040956406385
Vf	Eukaryotic virus	Donor	0.00863492341477143
Vf	Fungi	Pre-Tx	0.00603025312241518
Vf	Fungi	Post-Tx-onIS-1M	0.00523630521
Vf	Fungi	Post-Tx-onIS-2M	0.00959538945633333
Vf	Fungi	Post-Tx-onIS-3M	0.01578830224645
Vf	Fungi	Post-Tx-onIS-6M	0.0804905757632571
Vf	Fungi	Post-Tx-onIS>12M	0.058826298868
Vf	Fungi	Post-Tx-offIS-12M	0.0843384175775385
Vf	Fungi	Post-Tx-offIS-24M	0.0642073427440727
Vf	Fungi	HVs	0.0851408647329167
Vf	Fungi	Donor	0.0898226662404429
Vf	Phage	Pre-Tx	0.000426628100025552
Vf	Phage	Post-Tx-onIS-1M	0.000919602373
Vf	Phage	Post-Tx-onIS-2M	0.000223947078333333
Vf	Phage	Post-Tx-onIS-3M	0.00213465214476667
Vf	Phage	Post-Tx-onIS-6M	0.000586081833857143
Vf	Phage	Post-Tx-onIS>12M	0.000487962944
Vf	Phage	Post-Tx-offIS-12M	0.00127930752707692
Vf	Phage	Post-Tx-offIS-24M	0.0239420324298
Vf	Phage	HVs	0.00063665061145
Vf	Phage	Donor	0.000476349768271429
Hp	Bacteria	Pre-Tx	0.591221814763137
Hp	Bacteria	Post-Tx-onIS-1M	0.88158554583
Hp	Bacteria	Post-Tx-onIS-2M	0.716040753118667
Hp	Bacteria	Post-Tx-onIS-3M	0.692270532993486
Hp	Bacteria	Post-Tx-onIS-6M	0.948438229600857
Hp	Bacteria	Post-Tx-onIS>12M	0.9624966911376
Hp	Bacteria	Post-Tx-offIS-12M	0.918939006691846
Hp	Bacteria	Post-Tx-offIS-24M	0.9278659481699
Hp	Bacteria	HVs	0.9073331470837
Hp	Bacteria	Donor	0.944249649751
Hp	Eukaryotic virus	Pre-Tx	0.392352552848148
Hp	Eukaryotic virus	Post-Tx-onIS-1M	0.11014349539
Hp	Eukaryotic virus	Post-Tx-onIS-2M	0.276405811060667
Hp	Eukaryotic virus	Post-Tx-onIS-3M	0.285775662276143
Hp	Eukaryotic virus	Post-Tx-onIS-6M	0.0184137563041429
Hp	Eukaryotic virus	Post-Tx-onIS>12M	0.0211794556805
Hp	Eukaryotic virus	Post-Tx-offIS-12M	0.00824379671638462
Hp	Eukaryotic virus	Post-Tx-offIS-24M	0.00166046021501667
Hp	Eukaryotic virus	HVs	0.00030820490695
Hp	Eukaryotic virus	Donor	0.028413001407
Hp	Fungi	Pre-Tx	0.0151968414013008
Hp	Fungi	Post-Tx-onIS-1M	0.00821167281
Hp	Fungi	Post-Tx-onIS-2M	0.00714848791433333
Hp	Fungi	Post-Tx-onIS-3M	0.0212172625307143
Hp	Fungi	Post-Tx-onIS-6M	0.0324434615538571
Hp	Fungi	Post-Tx-onIS>12M	0.01577517746145
Hp	Fungi	Post-Tx-offIS-12M	0.0720849014044615
Hp	Fungi	Post-Tx-offIS-24M	0.0698793321634333
Hp	Fungi	HVs	0.09109078708935
Hp	Fungi	Donor	0.026635666974
Hp	Phage	Pre-Tx	0.00122878339834762
Hp	Phage	Post-Tx-onIS-1M	5.930741e-05
Hp	Phage	Post-Tx-onIS-2M	0.000404951443333333
Hp	Phage	Post-Tx-onIS-3M	0.000736533105714286
Hp	Phage	Post-Tx-onIS-6M	0.000704564843142857
Hp	Phage	Post-Tx-onIS>12M	0.0005486987953
Hp	Phage	Post-Tx-offIS-12M	0.000732302108153846
Hp	Phage	Post-Tx-offIS-24M	0.000594265975141667
Hp	Phage	HVs	0.00126786481355
Hp	Phage	Donor	0.00070164956
Ac	Bacteria	Pre-Tx	0.13354267923797
Ac	Bacteria	Post-Tx-onIS-1M	0.0371037997247
Ac	Bacteria	Post-Tx-onIS-2M	0.133061905805533
Ac	Bacteria	Post-Tx-onIS-3M	0.0163546412993857
Ac	Bacteria	Post-Tx-onIS-6M	0.373845665971743
Ac	Bacteria	Post-Tx-onIS>12M	0.715080795437333
Ac	Bacteria	Post-Tx-offIS-12M	0.819335967071462
Ac	Bacteria	Post-Tx-offIS-24M	0.9107086940355
Ac	Bacteria	HVs	0.903437146101233
Ac	Bacteria	Donor	0.867997414641114
Ac	Eukaryotic virus	Pre-Tx	0.86433095516644
