subject_id	site_specific	new_taxa	Group	rela_abu	Taxa
72	Hv04	Vf	Staphylococcus hominis	HVs	0.0165128703254007	Staphylococcus hominis
73	Hv01	Ac	Staphylococcus	HVs	0.0741279069767442	Other Staphylococcus
74	Hv01	Ac	Staphylococcus aureus	HVs	0	Staphylococcus aureus
75	Hv01	Ac	Staphylococcus capitis	HVs	0	Staphylococcus capitis
76	Hv01	Ac	Staphylococcus epidermidis	HVs	0.025124584717608	Staphylococcus epidermidis
77	Hv01	Ac	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
78	Hv01	Ac	Staphylococcus hominis	HVs	0.0174418604651163	Staphylococcus hominis
79	Hv01	Ic	Staphylococcus	HVs	0.0281009879253568	Other Staphylococcus
80	Hv01	Ic	Staphylococcus aureus	HVs	0	Staphylococcus aureus
81	Hv01	Ic	Staphylococcus capitis	HVs	0	Staphylococcus capitis
82	Hv01	Ic	Staphylococcus epidermidis	HVs	0.0889132821075741	Staphylococcus epidermidis
83	Hv01	Ic	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
84	Hv01	Ic	Staphylococcus hominis	HVs	0.0252469813391877	Staphylococcus hominis
85	Hv01	Mb	Staphylococcus	HVs	0.0575040783034257	Other Staphylococcus
86	Hv01	Mb	Staphylococcus aureus	HVs	0	Staphylococcus aureus
87	Hv01	Mb	Staphylococcus capitis	HVs	0	Staphylococcus capitis
88	Hv01	Mb	Staphylococcus epidermidis	HVs	0.0065252854812398	Staphylococcus epidermidis
89	Hv01	Mb	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
90	Hv01	Mb	Staphylococcus hominis	HVs	0.000815660685154976	Staphylococcus hominis
91	Hv01	Ph	Staphylococcus	HVs	0.00568803325311748	Other Staphylococcus
92	Hv01	Ph	Staphylococcus aureus	HVs	0	Staphylococcus aureus
93	Hv01	Ph	Staphylococcus capitis	HVs	0.00109385254867644	Staphylococcus capitis
94	Hv01	Ph	Staphylococcus epidermidis	HVs	0.0605994311966747	Staphylococcus epidermidis
95	Hv01	Ph	Staphylococcus haemolyticus	HVs	0.012907460074382	Staphylococcus haemolyticus
96	Hv01	Ph	Staphylococcus hominis	HVs	0.456136512798075	Staphylococcus hominis
97	Hv01	Ra	Staphylococcus	HVs	0.0365314362622573	Other Staphylococcus
98	Hv01	Ra	Staphylococcus aureus	HVs	0	Staphylococcus aureus
99	Hv01	Ra	Staphylococcus capitis	HVs	0.000961353585848875	Staphylococcus capitis
100	Hv01	Ra	Staphylococcus epidermidis	HVs	0.508556046914055	Staphylococcus epidermidis
101	Hv01	Ra	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
