Group_Comparison	Site_Specific	Group1	Mean	Group2	Sd	Group
51	Post-Tx-offIS-12M vs Pre-Tx	Ic	mean_post	0.781672956139895	sd_post	0.172855706377397	mean_post
52	Post-Tx-offIS-12M vs Pre-Tx	Mb	mean_post	0.776866400824697	sd_post	0.113655287677745	mean_post
53	Post-Tx-offIS-12M vs Pre-Tx	Pc	mean_post	0.670275470159011	sd_post	0.183715691476991	mean_post
54	Post-Tx-offIS-12M vs Pre-Tx	Ph	mean_post	0.833764836104663	sd_post	0.210626677572927	mean_post
55	Post-Tx-offIS-12M vs Pre-Tx	Ra	mean_post	0.837239234465784	sd_post	0.200381547106662	mean_post
56	Post-Tx-offIS-12M vs Pre-Tx	Vf	mean_post	0.83489135581769	sd_post	0.101605202499486	mean_post
57	Post-Tx-offIS-24M vs Pre-Tx	Ac	mean_post	0.7896100012624	sd_post	0.182508173873775	mean_post
58	Post-Tx-offIS-24M vs Pre-Tx	Hp	mean_post	0.79452316202192	sd_post	0.179122262529641	mean_post
59	Post-Tx-offIS-24M vs Pre-Tx	Ic	mean_post	0.57759468564023	sd_post	0.312486242585726	mean_post
60	Post-Tx-offIS-24M vs Pre-Tx	Mb	mean_post	0.760603076878394	sd_post	0.181299239073703	mean_post
61	Post-Tx-offIS-24M vs Pre-Tx	Pc	mean_post	0.603682330140311	sd_post	0.283752935327298	mean_post
62	Post-Tx-offIS-24M vs Pre-Tx	Ph	mean_post	0.764088161081547	sd_post	0.142404220376778	mean_post
63	Post-Tx-offIS-24M vs Pre-Tx	Ra	mean_post	0.862184050312983	sd_post	0.15448140650721	mean_post
64	Post-Tx-offIS-24M vs Pre-Tx	Vf	mean_post	0.806986269128987	sd_post	0.150226026386858	mean_post
65	Post-Tx-onIS-1M vs Pre-Tx	Ac	mean_post	0.908443251451465	sd_post	0.0946592252779261	mean_post
66	Post-Tx-onIS-1M vs Pre-Tx	Hp	mean_post	0.995739101933792	sd_post	NA	mean_post
67	Post-Tx-onIS-1M vs Pre-Tx	Ic	mean_post	0.909363972050881	sd_post	0.0931599460293364	mean_post
68	Post-Tx-onIS-1M vs Pre-Tx	Mb	mean_post	0.888451391813402	sd_post	0.0776228697180224	mean_post
69	Post-Tx-onIS-1M vs Pre-Tx	Pc	mean_post	0.779944003891886	sd_post	0.24288428850338	mean_post
70	Post-Tx-onIS-1M vs Pre-Tx	Ph	mean_post	0.890108512302721	sd_post	0.0750772187475279	mean_post
71	Post-Tx-onIS-1M vs Pre-Tx	Ra	mean_post	0.931316100237077	sd_post	0.0985342269730815	mean_post
72	Post-Tx-onIS-1M vs Pre-Tx	Vf	mean_post	0.970125449758081	sd_post	0.00586842094297694	mean_post
73	Post-Tx-onIS-2M vs Pre-Tx	Ac	mean_post	0.516274522026823	sd_post	0.511780676993903	mean_post
74	Post-Tx-onIS-2M vs Pre-Tx	Hp	mean_post	0.878708518848323	sd_post	0.0613417756257473	mean_post
75	Post-Tx-onIS-2M vs Pre-Tx	Ic	mean_post	0.750952450521909	sd_post	0.116640021459057	mean_post
76	Post-Tx-onIS-2M vs Pre-Tx	Mb	mean_post	0.881539912850477	sd_post	0.0310251268243504	mean_post
77	Post-Tx-onIS-2M vs Pre-Tx	Pc	mean_post	0.680872216788447	sd_post	0.160390906316802	mean_post
