Sample	ASVcount	site_specific	grp
523	VXV19581	122	Vf	Post-Tx-offIS-24M
524	VXV20248	67	Ac	Post-Tx-offIS-24M
525	VXV20249	189	Hp	Post-Tx-offIS-24M
526	VXV20250	117	Ic	Post-Tx-offIS-24M
527	VXV20251	211	Mb	Post-Tx-offIS-24M
528	VXV20252	149	Pc	Post-Tx-offIS-24M
529	VXV20255	176	Ph	Post-Tx-offIS-24M
530	VXV20256	109	Ra	Post-Tx-offIS-24M
531	VXV20257	31	Vf	Post-Tx-offIS-24M
532	VXV17937	102	Ac	Pre-Tx-24M
533	VXV17948	57	Vf	Pre-Tx-24M
534	VXV19503	95	Ac	Pre-Tx-24M
535	VXV19504	129	Hp	Pre-Tx-24M
536	VXV19505	17	Ic	Pre-Tx-24M
537	VXV19506	61	Mb	Pre-Tx-24M
538	VXV19507	32	Pc	Pre-Tx-24M
539	VXV19508	25	Ph	Pre-Tx-24M
540	VXV19509	63	Ra	Pre-Tx-24M
541	VXV19510	216	Vf	Pre-Tx-24M
542	VXV17950	162	Ac	Pre-Tx-24M
543	VXV17983	116	Ac	Pre-Tx-24M
544	VXV17990	91	Hp	Pre-Tx-24M
545	VXV17992	105	Ic	Pre-Tx-24M
546	VXV17995	110	Mb	Pre-Tx-24M
547	VXV18004	76	Pc	Pre-Tx-24M
548	VXV18007	145	Ra	Pre-Tx-24M
549	VXV18009	153	Vf	Pre-Tx-24M
550	VXV04742	25	Ic	Pre-Tx-24M
551	VXV04743	141	Mb	Pre-Tx-24M
552	VXV04745	116	Ph	Pre-Tx-24M
553	VXV04746	106	Vf	Pre-Tx-24M
554	VXV18011	159	Ac	Pre-Tx-24M
555	VXV18025	110	Ac	Pre-Tx-24M
556	VXV18032	68	Hp	Pre-Tx-24M
557	VXV18034	55	Ic	Pre-Tx-24M
558	VXV18037	20	Mb	Pre-Tx-24M
559	VXV18048	86	Vf	Pre-Tx-24M
560	VXV19535	40	Ph	Pre-Tx-24M
561	VXV18061	205	Hp	Pre-Tx-24M
562	VXV18063	132	Ic	Pre-Tx-24M
563	VXV18065	153	Mb	Pre-Tx-24M
564	VXV18071	105	Ra	Pre-Tx-24M
565	VXV18074	201	Vf	Pre-Tx-24M
566	VXV20093	351	Ph	Pre-Tx-24M
567	VXV18112	150	Ac	Pre-Tx-24M
568	VXV18114	102	Hp	Pre-Tx-24M
569	VXV18116	191	Ic	Pre-Tx-24M
570	VXV18118	148	Mb	Pre-Tx-24M
571	VXV18123	256	Pc	Pre-Tx-24M
572	VXV18124	420	Ph	Pre-Tx-24M
573	VXV18126	99	Ra	Pre-Tx-24M
574	VXV18127	100	Vf	Pre-Tx-24M
575	VXV04754	201	Ic	Pre-Tx-24M
576	VXV04755	183	Mb	Pre-Tx-24M
577	VXV04756	158	Pc	Pre-Tx-24M
578	VXV04757	171	Ph	Pre-Tx-24M
579	VXV04758	233	Vf	Pre-Tx-24M
580	VXV18129	204	Ac	Pre-Tx-24M
581	VXV18131	172	Hp	Pre-Tx-24M
582	VXV18142	28	Ra	Pre-Tx-24M
583	VXV04760	66	Ic	Pre-Tx-24M
584	VXV04761	80	Mb	Pre-Tx-24M
585	VXV04762	163	Pc	Pre-Tx-24M
586	VXV04763	75	Ph	Pre-Tx-24M
587	VXV04764	127	Vf	Pre-Tx-24M
588	VXV19562	69	Ac	Pre-Tx-24M
589	VXV19563	139	Hp	Pre-Tx-24M
590	VXV19564	102	Ra	Pre-Tx-24M
591	VXV20230	39	Ac	Pre-Tx-24M
592	VXV20231	79	Hp	Pre-Tx-24M
593	VXV20232	66	Ic	Pre-Tx-24M
594	VXV20233	105	Mb	Pre-Tx-24M
595	VXV20234	17	Pc	Pre-Tx-24M
596	VXV20235	174	Ph	Pre-Tx-24M
597	VXV20236	55	Ra	Pre-Tx-24M
598	VXV20237	71	Vf	Pre-Tx-24M
