Sample	ASVcount	site_specific	grp
119	VXV19697	38	Ic	Post-Tx-onIS-3M
120	VXV19698	25	Mb	Post-Tx-onIS-3M
121	VXV19699	78	Pc	Post-Tx-onIS-3M
122	VXV19700	129	Ph	Post-Tx-onIS-3M
123	VXV19701	23	Ra	Post-Tx-onIS-3M
124	VXV20168	122	Ac	Post-Tx-onIS-3M
125	VXV20169	34	Hp	Post-Tx-onIS-3M
126	VXV20170	123	Ic	Post-Tx-onIS-3M
127	VXV20171	141	Mb	Post-Tx-onIS-3M
128	VXV20172	160	Ph	Post-Tx-onIS-3M
129	VXV20173	153	Pc	Post-Tx-onIS-3M
130	VXV20174	103	Ra	Post-Tx-onIS-3M
131	VXV20175	149	Vf	Post-Tx-onIS-3M
132	VXV20268	216	Ac	Post-Tx-onIS-3M
133	VXV20269	227	Hp	Post-Tx-onIS-3M
134	VXV20270	236	Ic	Post-Tx-onIS-3M
135	VXV20271	191	Mb	Post-Tx-onIS-3M
136	VXV20272	317	Pc	Post-Tx-onIS-3M
137	VXV20273	169	Ph	Post-Tx-onIS-3M
138	VXV20274	240	Ra	Post-Tx-onIS-3M
139	VXV20275	180	Vf	Post-Tx-onIS-3M
140	VXV18170	48	Ac	Pre-Tx-3M
141	VXV18171	333	Hp	Pre-Tx-3M
142	VXV18176	35	Ic	Pre-Tx-3M
143	VXV18181	150	Mb	Pre-Tx-3M
144	VXV18186	259	Pc	Pre-Tx-3M
145	VXV18191	279	Ph	Pre-Tx-3M
146	VXV18197	161	Ra	Pre-Tx-3M
147	VXV18201	36	Vf	Pre-Tx-3M
148	VXV19646	66	Ac	Pre-Tx-3M
149	VXV19647	119	Hp	Pre-Tx-3M
150	VXV19648	69	Ic	Pre-Tx-3M
151	VXV19649	94	Mb	Pre-Tx-3M
152	VXV19650	59	Pc	Pre-Tx-3M
153	VXV19651	180	Ph	Pre-Tx-3M
154	VXV19652	120	Ra	Pre-Tx-3M
155	VXV19653	97	Vf	Pre-Tx-3M
156	VXV20230	39	Ac	Pre-Tx-3M
157	VXV20231	79	Hp	Pre-Tx-3M
158	VXV20232	66	Ic	Pre-Tx-3M
159	VXV20233	105	Mb	Pre-Tx-3M
160	VXV20234	17	Pc	Pre-Tx-3M
161	VXV20235	174	Ph	Pre-Tx-3M
162	VXV20236	55	Ra	Pre-Tx-3M
163	VXV20237	71	Vf	Pre-Tx-3M
164	VXV19670	172	Ac	Pre-Tx-3M
165	VXV19671	133	Ic	Pre-Tx-3M
166	VXV19672	59	Mb	Pre-Tx-3M
167	VXV19673	144	Pc	Pre-Tx-3M
168	VXV19674	112	Ph	Pre-Tx-3M
169	VXV19675	41	Ra	Pre-Tx-3M
170	VXV19676	210	Vf	Pre-Tx-3M
171	VXV19688	33	Hp	Pre-Tx-3M
172	VXV19689	20	Ic	Pre-Tx-3M
173	VXV19690	37	Mb	Pre-Tx-3M
174	VXV19691	19	Pc	Pre-Tx-3M
175	VXV19692	53	Ph	Pre-Tx-3M
176	VXV19693	34	Ra	Pre-Tx-3M
177	VXV20159	17	Ac	Pre-Tx-3M
178	VXV20160	209	Hp	Pre-Tx-3M
179	VXV20161	114	Ic	Pre-Tx-3M
180	VXV20162	163	Mb	Pre-Tx-3M
181	VXV20163	194	Ph	Pre-Tx-3M
182	VXV20164	24	Pc	Pre-Tx-3M
