site_specific	kingdom	group	mean_fold	sd
Hp	Eukaryotic virus	Post-Tx-offIS-24M	-2.22239669478893	0.831618796925275
Hp	Eukaryotic virus	Post-Tx-onIS-1M	-0.153017262819647	NA
Hp	Eukaryotic virus	Post-Tx-onIS-2M	0.0321517271238823	0.542257433813291
Hp	Eukaryotic virus	Post-Tx-onIS-3M	-0.0957018039085791	0.943078800717349
Hp	Eukaryotic virus	Post-Tx-onIS-6M	-0.353034627172019	1.08169949071694
Hp	Eukaryotic virus	Pre-Tx	0	NA
Hp	Fungi	Post-Tx-offIS-12M	1.58418027033173	1.43419251319429
Hp	Fungi	Post-Tx-offIS-24M	1.64445751154798	0.790899922298379
Hp	Fungi	Post-Tx-onIS-1M	-0.554544564429754	NA
Hp	Fungi	Post-Tx-onIS-2M	0.0762248503396389	0.676604516962844
Hp	Fungi	Post-Tx-onIS-3M	0.944726647539724	0.998001767849854
Hp	Fungi	Post-Tx-onIS-6M	1.40544134364823	1.13401618397037
Hp	Fungi	Pre-Tx	0	NA
Ac	Bacteria	Post-Tx-offIS-12M	0.949599553694398	0.587060410432658
Ac	Bacteria	Post-Tx-offIS-24M	1.58842782612546	0.595629738846896
Ac	Bacteria	Post-Tx-onIS-1M	0.218324589431693	0.719720025461647
Ac	Bacteria	Post-Tx-onIS-2M	0.628426380527371	0.419569478439213
Ac	Bacteria	Post-Tx-onIS-3M	-0.0328388860151754	0.578527362179544
Ac	Bacteria	Post-Tx-onIS-6M	0.594130050646962	1.16932733288999
Ac	Bacteria	Pre-Tx	0	NA
Ac	Eukaryotic virus	Post-Tx-offIS-12M	-2.04345668522171	1.50923344101301
Ac	Eukaryotic virus	Post-Tx-offIS-24M	-3.25687090711042	1.21527060829843
Ac	Eukaryotic virus	Post-Tx-onIS-1M	0.36979612424943	0.207728227362977
Ac	Eukaryotic virus	Post-Tx-onIS-2M	1.05929526871176	0.825914645831283
Ac	Eukaryotic virus	Post-Tx-onIS-3M	0.977217083905367	0.944236948793594
Ac	Eukaryotic virus	Post-Tx-onIS-6M	0.154806057444289	2.27266555269938
Ac	Eukaryotic virus	Pre-Tx	0	NA
Ac	Fungi	Post-Tx-offIS-12M	1.78503043404464	1.50964457165965
Ac	Fungi	Post-Tx-offIS-24M	2.02245011754864	0.808013879133335
