subject_id	kingdom	Group	mean_abu_norm_bs
Pt04	Phage	Post-Tx-offIS-24M	0.85143010381
Pt13	Bacteria	Pre-Tx	0.058441777493687
Pt13	Bacteria	Post-Tx-onIS>12M	5.0851944366982
Pt13	Eukaryotic virus	Pre-Tx	6.9319534894828
Pt13	Eukaryotic virus	Post-Tx-onIS>12M	0.81256566868
Pt13	Fungi	Pre-Tx	0.0001847091419919
Pt13	Fungi	Post-Tx-onIS>12M	0.05832083267644
Pt13	Phage	Pre-Tx	0.0094200677703
Pt13	Phage	Post-Tx-onIS>12M	1.04391908131
Pt10	Bacteria	Pre-Tx	0.0054289699487837
Pt10	Bacteria	Post-Tx-offIS-12M	1.22970657698178
Pt10	Bacteria	Post-Tx-offIS-24M	6.546065809123
Pt10	Eukaryotic virus	Pre-Tx	7.99452658730449
Pt10	Eukaryotic virus	Post-Tx-offIS-12M	6.68016413474
Pt10	Eukaryotic virus	Post-Tx-offIS-24M	1.2006880936
Pt10	Fungi	Pre-Tx	1.82635065095e-05
Pt10	Fungi	Post-Tx-offIS-12M	0.00830659885206
Pt10	Fungi	Post-Tx-offIS-24M	0.207906533672
Pt10	Phage	Pre-Tx	2.61551234e-05
Pt10	Phage	Post-Tx-offIS-12M	0.081822724047
Pt10	Phage	Post-Tx-offIS-24M	0.0453394028
Pt12	Bacteria	Pre-Tx	0.05580082369806
Pt12	Bacteria	Post-Tx-onIS>12M	10.5054155533966
Pt12	Eukaryotic virus	Pre-Tx	7.9420223946
Pt12	Eukaryotic virus	Post-Tx-onIS>12M	4.6121551921035
Pt12	Fungi	Pre-Tx	0.000317417146927
Pt12	Fungi	Post-Tx-onIS>12M	0.543972694168711
Pt12	Phage	Pre-Tx	0.00185949665
Pt12	Phage	Post-Tx-onIS>12M	0.3384565456105
Pt07	Bacteria	Pre-Tx	0.0265986279698179
Pt07	Bacteria	Post-Tx-offIS-12M	6.9707518298718
Pt07	Bacteria	Post-Tx-offIS-24M	6.2108272571296
Pt07	Eukaryotic virus	Pre-Tx	7.97233399445142
Pt07	Eukaryotic virus	Post-Tx-offIS-12M	0.9658665046
Pt07	Eukaryotic virus	Post-Tx-offIS-24M	0.6182153691137
Pt07	Fungi	Pre-Tx	0.0001069012250324
Pt07	Fungi	Post-Tx-offIS-12M	0.02798690557303
Pt07	Fungi	Post-Tx-offIS-24M	0.02235668761701
Pt07	Phage	Pre-Tx	0.00096042062477
Pt07	Phage	Post-Tx-offIS-12M	0.03539475268
Pt07	Phage	Post-Tx-offIS-24M	0.148600692027
Pt08	Bacteria	Pre-Tx	0.555089778490588
Pt08	Bacteria	Post-Tx-offIS-12M	5.4899310006526
Pt08	Bacteria	Post-Tx-offIS-24M	6.626623113634
Pt08	Eukaryotic virus	Pre-Tx	7.3912261960063
Pt08	Eukaryotic virus	Post-Tx-offIS-12M	2.44153468901
Pt08	Eukaryotic virus	Post-Tx-offIS-24M	0.867790679731
